DeviceID,DeviceType,Manufacturer,Model,FirmwareVersion,LastPatched,Location,NetworkSegment,AuthMethod,Encryption,OpenPorts,TrafficAnomaly,Criticality,Status,RiskFactor
RET-1027,POS Terminal,Samsung,Model-Z18,v0.3,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1028,Digital Signage,Zebra,Model-X27,v3.8,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1029,Smart Shelf,Verifone,Model-Z8,v1.4,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1030,POS Terminal,Verifone,Model-Z31,v3.4,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1031,Inventory Scanner,Zebra,Model-Y21,v3.3,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1032,Inventory Scanner,Verifone,Model-X82,v4.3,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1033,Self-Checkout Kiosk,Verifone,Model-X36,v1.8,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1034,POS Terminal,Verifone,Model-Z94,v0.0,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1035,Digital Signage,Toshiba,Model-X33,v2.7,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1036,POS Terminal,Samsung,Model-X12,v3.9,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1037,Smart Shelf,Toshiba,Model-Z74,v2.0,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1038,Self-Checkout Kiosk,Zebra,Model-Y89,v3.5,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1039,Self-Checkout Kiosk,Samsung,Model-Y96,v1.8,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1040,Inventory Scanner,Toshiba,Model-Y80,v0.0,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1041,Digital Signage,Toshiba,Model-Z89,v3.2,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1042,POS Terminal,Toshiba,Model-X75,v1.1,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1043,Inventory Scanner,Verifone,Model-Y33,v4.2,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1044,Inventory Scanner,Toshiba,Model-Z56,v3.4,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1045,Smart Shelf,Samsung,Model-Z10,v2.0,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1046,Smart Shelf,Samsung,Model-Z99,v2.6,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1047,Inventory Scanner,Toshiba,Model-Y91,v1.6,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1048,Digital Signage,Toshiba,Model-Z5,v0.1,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1049,Inventory Scanner,Toshiba,Model-Z16,v0.2,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
