DeviceID,DeviceType,Manufacturer,Model,FirmwareVersion,LastPatched,Location,NetworkSegment,AuthMethod,Encryption,OpenPorts,TrafficAnomaly,Criticality,Status,RiskFactor
HEA-1013,MRI Scanner,Philips,Model-Z76,v0.9,2021-01-01,Zone-2,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
HEA-1014,MRI Scanner,Drager,Model-Z20,v3.1,2021-01-01,Zone-2,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
HEA-1015,Infusion Pump,Philips,Model-Z17,v2.3,2022-05-15,Zone-2,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
HEA-1016,Lab Analyzer,GE Healthcare,Model-Z57,v2.5,2022-05-15,Zone-2,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
HEA-1017,MRI Scanner,GE Healthcare,Model-X59,v2.6,2022-05-15,Zone-2,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
HEA-1018,Patient Monitor,GE Healthcare,Model-X80,v4.8,2022-05-15,Zone-2,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
HEA-1019,MRI Scanner,Philips,Model-Z60,v2.8,2022-05-15,Zone-2,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
HEA-1020,Infusion Pump,Drager,Model-X27,v3.4,2022-05-15,Zone-3,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
HEA-1021,Infusion Pump,Philips,Model-Y10,v3.9,2022-05-15,Zone-3,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
HEA-1022,Lab Analyzer,Drager,Model-X86,v0.2,2022-05-15,Zone-3,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
HEA-1023,Patient Monitor,Philips,Model-Z46,v4.2,2022-05-15,Zone-3,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
HEA-1024,Infusion Pump,GE Healthcare,Model-Y85,v2.3,2022-05-15,Zone-3,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
HEA-1025,Patient Monitor,Medtronic,Model-Y71,v3.8,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1026,X-Ray Machine,Medtronic,Model-Y23,v4.6,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1027,Lab Analyzer,Drager,Model-Y63,v0.8,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1028,Patient Monitor,GE Healthcare,Model-Z18,v3.0,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1029,Lab Analyzer,Medtronic,Model-X82,v1.0,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1030,Patient Monitor,Medtronic,Model-Z11,v4.6,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1031,MRI Scanner,Medtronic,Model-Z33,v0.1,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1032,Lab Analyzer,Drager,Model-Z1,v4.7,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1033,MRI Scanner,GE Healthcare,Model-Y74,v0.6,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1034,X-Ray Machine,Drager,Model-X44,v2.9,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1035,X-Ray Machine,Drager,Model-X66,v3.8,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1036,MRI Scanner,Philips,Model-Z94,v4.9,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1037,X-Ray Machine,Drager,Model-Z73,v0.1,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1038,Lab Analyzer,Philips,Model-Z4,v4.1,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1039,X-Ray Machine,Philips,Model-Z40,v2.7,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1040,MRI Scanner,Medtronic,Model-X7,v3.6,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1041,MRI Scanner,Medtronic,Model-X93,v1.1,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1042,Infusion Pump,Philips,Model-Y4,v2.1,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1043,X-Ray Machine,Philips,Model-Y62,v2.2,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1044,Patient Monitor,GE Healthcare,Model-Y50,v4.6,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1045,Patient Monitor,Medtronic,Model-Y30,v2.4,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1046,MRI Scanner,Medtronic,Model-X6,v4.8,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1047,Infusion Pump,Medtronic,Model-X78,v4.1,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1048,Patient Monitor,Medtronic,Model-Z29,v3.4,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
HEA-1049,X-Ray Machine,Medtronic,Model-Y89,v0.5,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
