DeviceID,DeviceType,Manufacturer,Model,FirmwareVersion,LastPatched,Location,NetworkSegment,AuthMethod,Encryption,OpenPorts,TrafficAnomaly,Criticality,Status,RiskFactor
OTH-1026,Smart Thermostat,HID,Model-Y3,v0.4,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1027,Security Camera,HP,Model-X5,v1.8,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1028,Printer,Ring,Model-Y23,v1.5,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1029,Smart Thermostat,Ring,Model-Z70,v3.7,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1030,VoIP Phone,Ring,Model-X56,v3.1,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1031,Security Camera,HID,Model-Y58,v0.0,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1032,Printer,HID,Model-Z30,v3.5,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1033,Smart Thermostat,HP,Model-X11,v3.4,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1034,Security Camera,Ring,Model-Z86,v0.4,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1035,VoIP Phone,HP,Model-Y92,v0.6,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1036,Security Camera,HP,Model-Y9,v3.2,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1037,Printer,HID,Model-Z54,v3.9,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1038,VoIP Phone,Polycom,Model-X90,v3.6,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1039,VoIP Phone,Nest,Model-Y25,v2.9,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1040,Printer,HP,Model-Y46,v2.4,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1041,VoIP Phone,HP,Model-Y51,v3.8,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1042,VoIP Phone,Nest,Model-X89,v2.0,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1043,Smart Thermostat,Nest,Model-Y9,v3.1,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1044,Access Control,Polycom,Model-Z71,v3.5,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1045,Printer,Ring,Model-X18,v3.7,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1046,Printer,Polycom,Model-X18,v1.5,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1047,Security Camera,Ring,Model-Z93,v2.2,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1048,Printer,Ring,Model-X15,v3.0,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
OTH-1049,VoIP Phone,Polycom,Model-Y74,v3.8,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
